IDPlots,ID,DBH_mm,Height_m,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
169,6,15,1.95,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.4054651081081644,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,5,15,1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.4054651081081644,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,2,15,1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.4054651081081644,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,1,17,1.9,19,High,POTR,1.7,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,2.2698059999999996e-4,no,no,0.5306282510621704,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,4,20,2.5,19,High,POTR,2,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,3.1416e-4,no,no,0.6931471805599453,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,3,18,2.15,19,High,POTR,1.8,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,2.544696e-4,no,no,0.5877866649021191,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,7,15,2,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.4054651081081644,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,11,15,1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.4054651081081644,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,8,15,1.95,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.4054651081081644,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,10,20,1.9,19,High,POTR,2,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,3.1416e-4,no,no,0.6931471805599453,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,9,10,1.8,19,High,POTR,1,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,7.854e-5,no,no,0,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
213,1,32,2.7,32,High,PYCO,3.2,0.85082382,10,0,1187.01926411821,124,no,no,no,no,8.042496000000001e-4,no,no,1.1631508098056809,-0.9377449084724444,-1.5318458364469458,-0.6307285116303141,-1.4358210386188854
213,3,28,3.6,26,High,PYCO,2.8,0.85082382,10,0,1187.01926411821,124,yes,no,no,no,6.157535999999999e-4,no,no,1.0296194171811581,-0.9377449084724444,-1.5318458364469458,-0.6307285116303141,-1.4358210386188854
213,2,95,5.2,26,High,PYCO,9.5,0.85082382,10,0,1187.01926411821,124,yes,no,no,no,0.007088235,no,no,2.2512917986064953,-0.9377449084724444,-1.5318458364469458,-0.6307285116303141,-1.4358210386188854
236,5,75,4.6,26,High,PYCO,7.5,4.0546275,91,0.2,1297.88164450309,122,yes,no,no,no,0.004417875,no,no,2.0149030205422647,-0.08633447350786164,-1.0543835780358426,-1.108219232058573,-1.340681109844814
236,4,50,4.2,26,High,PYCO,5,4.0546275,91,0.2,1297.88164450309,122,yes,no,no,no,0.0019635,no,no,1.6094379124341003,-0.08633447350786164,-1.0543835780358426,-1.108219232058573,-1.340681109844814
236,2,23,2.2,4,High,PISY,2.3,4.0546275,91,0.2,1297.88164450309,122,yes,no,yes,no,4.1547659999999995e-4,yes,no,0.8329091229351039,-0.08633447350786164,-1.0543835780358426,-1.108219232058573,-1.340681109844814
